cod,denumire,cod_fiscal,analitic,tara,judet,localitate,adresa,cont_banca,banca,tel,email,grupa,reg_com,den_agent
"00128","ARIDON MOLDOVA SRL","RO28574372","401.00128","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. NICOLAE G. CARAMFIL, NR.22A, BIROUL NR. IIE, INCAPEREA 2, BIROU","","","+040752233358","","","J40/11454/2013",""
"00129","PEERAJ BRANDS INTERNATIONAL SRL","RO17011969","401.00129","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. RABAT, NR.1, CAMERA 1","","","0318057224","","","J40/8259/2006",""
"00130","ROBY AUTO S.R.L.","14529401","401.00130","RO","IF","","JUD. ILFOV, COM. JILAVA, STR. MIERLARI, NR.13","","","0744648394","","","J23/1596/2007",""
"00131","adidas Romania SRL","RO15739061","401.00131","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. BUCURESTI - PLOIESTI, NR.42-44, ET.2","","","0726171071","","","J40/12398/2003",""
"00132","PATRIA 2001 SA","RO14335952","401.00132","RO","BH","","JUD. BIHOR, MUN. ORADEA, STR. TEATRULUI, NR.5, AP.3","","","0241831862","","","J05/916/2012",""
"00133","PRINCESSE STAR SRL","RO7127819","401.00133","RO","CT","","JUD. CONSTANTA, LOC. MAMAIA MUN. CONSTANTA, MAMAIA, ZONA CAZINO","","","0722780245","","","J13/892/1995",""
"00134","AUSTING SERV SRL","32589720","401.00134","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. TROSCOTULUI, NR.9-11","","","0723927003","","","J40/15424/2013",""
"00135","DOLGAS SRL","RO17202926","401.00135","RO","OT","","JUD. OLT, MUN. CARACAL, STR. MIHAIL KOGALNICEANU, NR.15","","","0740152607","","","J28/119/2005",""
"00136","PARFENI GETA PERSOANA FIZICA AUTORIZATA","RO19335740","401.00136","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. CALTUNASI, NR.1, BL.147, SC.1, ET.P, AP.2","","","0213349726","","","F40/159/2001",""
"00137","OLTWAM S.R.L.","RO11179581","401.00137","RO","OT","","JUD. OLT, COM. CRAMPOIA","","","0743160110","","","J28/360/1998",""
"00138","ARSIS TRADING SRL","RO436787","401.00138","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, STR. VALEA CALUGAREASCA, NR.14, CAMERA NR. 1, BL.2, SC.A, ET.2, AP.9","","","0765441032","","","J40/3290/1991",""
"00139","FF GROUP ROMANIA SRL","RO11782050","401.00139","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. TACHE IONESCU, NR.8, PARTER","","","0214117086","","","J40/4676/1999",""
"00140","MAGISTRAL SERVICE RAPID S.R.L.","RO39106660","401.00140","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. RAMNICU VALCEA, NR.31, CAMERA 1, BL.17A, SC.2, ET.1, AP.62","","","-","","","J40/4293/2018",""
"00141","EURO-TOUR SRL","RO11371616","401.00141","RO","BV","","JUD. BRASOV, MUN. BRASOV, STR. ANINOASA, NR.5","","","0268471747","","","J08/28/1999",""
"00142","ALUNU SRL","RO7203150","401.00142","RO","OT","","JUD. OLT, ORS. BALS, STR. NICOLAE TITULESCU, NR.5 BIS","","","0249454291","","","J28/223/1995",""
"00143","STOP UNU SRL","RO26100704","401.00143","RO","BV","","JUD. BRASOV, SAT SANPETRU COM. SANPETRU, STR. ZAHARIA BARSAN, NR.DJ 6, BL.OBIECTIV 2","","","0268318431","","","J08/1429/2009",""
"00144","TOP STRONG S.R.L.","RO28088917","401.00144","RO","SV","","JUD. SUCEAVA, MUN. SUCEAVA, STR. STRANDULUI, NR.50","","","0746582555","","","J33/194/2011",""
"00145","INSTALLHOME SELLS SRL","RO24199025","401.00145","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, ALEEA PRICOPAN, NR.6A, BL.17, SC.1, ET.4, AP.19","","","0723168094","","","J40/12296/2008",""
"00146","STOICA TITI MIHAI","1861021282200","401.00146","RO","B","","sector 4, strada Maria Tanase nr.4, bloc 28 scara a,et.1 ap 5","","","","","","",""
"00147","ALL AUTO PAPER CONTRACTS SRL","37224694","401.00147","RO","GR","","JUD. GIURGIU, SAT VARLAAM COM. ADUNATII-COPACENI, VARLAAM","","","0730883234","","","J52/163/2017",""
"00148","SIFEE UTILAJE SRL","RO26704247","401.00148","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, STR. PRECIZIEI, NR.30","","","0214202582","","","J40/3179/2010",""
"00149","TOTAL AUTO ELECTRIC S.R.L.","27438330","401.00149","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. RIUL SOIMULUI, NR.3, BL.26, SC.1, ET.3, AP.15","","","0767360452","","","J40/9259/2010",""
"00150","DANCOR COM SRL","RO6883598","401.00150","RO","PH","","JUD. PRAHOVA, SAT TANTARENI COM. BLEJOI, TINTARENI, NR.427G","","","0754043000","","","J29/25/1995",""
"00151","RUAND POWER SOLUTIONS SRL","RO31973896","401.00151","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. SECUILOR, NR.13A, CAMERA 1, BL.B46, SC.2, ET.3, AP.32","","","0766715257","","","J40/8513/2013",""
"00152","I,V & P INSTALATII SRL","RO7637400","401.00152","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, BLD. FERDINAND I, NR.120, BL.O11, ET.PARTER","","","25279140","","","J40/6139/1995",""
"00153","TOR SMART TRADE SRL","RO24848831","401.00153","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. BALARIEI, NR.18","","","-","","","J40/20607/2008",""
"00154","BREEZE HVAC SRL","RO18647680","401.00154","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, P-TA NATIUNILE UNITE, NR.3-5, BL.B2, SC.1, ET.5, AP.28","","","0727205235","","","J40/7476/2006",""
"00155","HARNIC TEAM S.R.L.","43191583","401.00155","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. POIANA CU ALUNI, NR.6, CAMERA NR.1, BL.17, SC.3, ET.4, AP.89","","","-","","","",""
"00156","INTAX TRADING S.R.L.","RO14571848","401.00156","RO","TR","","JUD. TELEORMAN, MUN. ALEXANDRIA, STR. LIBERTATII, BL.A1-A3, ET.P","","","0247421236","","","J34/122/2002",""
"00157","CONSTALARIS SRL","RO16821231","401.00157","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. LUGOJANA, NR.11, BL.47, SC.1, AP.1","","","0318055433","","","J40/16029/2004",""
"00158","KARCHER ROMANIA SRL","RO23533592","401.00158","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. ODAI, NR.439, ET.P+1+4","","","0212300171","","","J40/5016/2008",""
"00159","GOURMET FOOD SRL","RO32487916","401.00159","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. NORDULUI, NR.1D, CAMERA NR.3","","","-","","","J40/14261/2013",""
"00160","ALY-NIK PETRO TRANS SRL","RO36229960","401.00160","RO","AG","","JUD. ARGES, SAT SAPUNARI COM. MORARESTI, STR. PETRESTI, NR.67","","","-","","","J03/1118/2016",""
"00161","ELITE EXPRESSIONS S.R.L.","RO28337910","401.00161","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, B-DUL CONSTANTIN BRANCOVEANU, NR.113, BL.V6, SC.1, ET.9, AP.40","","","0747010251","","","J40/4522/2011",""
"00162","U.M. 0407 - CENTRUL NATIONAL PENTRU SECURITATE LA INCENDIU SI PR","RO18510762","401.00162","RO","","","","","","2521264","","",""message":"SUCCE",""
"00163","GREEN STAL TRADING SRL","RO24172500","401.00163","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. CATANOAIA, NR.33, BIROU NR. 9, PAVILION ADMINISTRATIV","","","0752050006","","","J40/12060/2008",""
"00164","DENY LOOK S.R.L.","RO24284953","401.00164","RO","","","JUD. ALBA, MUN. ALBA IULIA, STR. GHEORGHE SINCAI, NR.2B","","","","","","",""
"00165","INTER-LINE COMPANY SRL","RO7629939","401.00165","RO","VL","","JUD. VALCEA, MUN. RAMNICU VALCEA, STR. STIRBEI VODA, NR.42","","","0250737306","","","J38/473/1995",""
"00166","AVANT LEASING IFN S.A.","RO13341280","401.00166","RO","B","BUCURESTI SECTOR 1","SOS. BUCURESTI-PLOIESTI, NR. 19-21","","","","","","J40/8204/2000",""
"00167","MOBIUP DISTRIBUTION SRL","RO26972622","401.00167","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 6, STR. VALEA CALUGAREASCA, NR.14, CAMERA 2, BL.2, SC.A, ET.2, AP.9","","","076544032","","","J40/5350/2010",""
"00168","DANLILI S.R.L.","RO8577773","401.00168","RO","AB","","JUD. ALBA, MUN. ALBA IULIA, STR. ROZELOR, NR.16","","","","","","J01/325/1996",""
"00169","PROFELIS C&V SRL","RO16158695","401.00169","RO","SB","","JUD. SIBIU, MUN. SIBIU, STR. TURDA, NR.15","","","","","","J32/253/2004",""
"00170","KAGO COMPANY S.R.L.","RO24860312","401.00170","RO","IF","","JUD. ILFOV, ORS. BRAGADIRU, STR. LIBERTATII, NR.10-16, BL.K2, SC.1, ET.1, AP.2","","","0727732716","","","J23/3838/2008",""
"00171","MURESUL-DRAMBAR S.R.L.","RO26125245","401.00171","RO","AB","","JUD. ALBA, SAT DRAMBAR COM. CIUGUD, CALEA ALBA IULIA, NR.2","","","","","","J01/697/2009",""
"00172","VERTIGO SUN SRL","RO30880322","401.00172","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. VITAN BARZESTI, NR.7D-7E, CORP C, CAMERA 2, ET.5, AP.78","","","","","","J40/8693/2014",""
"00173","SOCAR PETROLEUM S.A.","RO12546600","401.00173","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. PECHEA, NR.32-36, ET.4","","","0231533303","","","J40/13723/2012",""
"00174","TANO ACTIV SERVICE SRL","RO30790599","401.00174","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. IONESCU GHEORGHE SLT., NR.1, BL.148, SC.A, ET.6, AP.38","","","","","","",""
"00175","ADERUS CONSTRUCT SRL","RO38026989","401.00175","RO","IF","","JUD. ILFOV, ORS. BRAGADIRU, STR. COLINEI, NR.12, CAMERA NR.1, ET.2, AP.6","","","","","","J23/4007/2017",""
"00176","CASMALA CARMEN NINETA","2860531282205","401.00176","RO","OT","","Corabia","","","","","","",""
"00177","POLY - DIM SERV EXIM SRL","RO5158290","401.00177","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 2, STR. MAICA DOMNULUI, NR.49, ET.P","","","","","","J40/977/1994",""
"00178","ELECTRIC TOP LOGISTIC TEAM SRL","RO37015744","401.00178","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. VLAHITA, NR.3, CAMERA 2, BL.PM18, SC.C, ET.3, AP.88","","","","","","J40/1286/2017",""
"00179","IDEA BROKER DE ASIGURARE SRL","16741957","401.00179","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. BUCURESTI PLOIESTI, NR.17-21, ET.2, AP.CAMERA118","","","0723377310","","","J40/14402/2004",""
"00180","ALSIRO FAMILY S.R.L.","22171915","401.00180","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. VITAN BARZESTI, NR.7D, BL.3, SC.B, ET.6, AP.386","","","","","","J40/14279/2007",""
"00181","FOX TOWN SRL","RO26344415","401.00181","RO","IF","","JUD. ILFOV, SAT TUNARI COM. TUNARI, STR. MIHAI EMINESCU, NR.8","","","0212675667","","","J23/2965/2009",""
"00182","ROX GAZ SRL","RO17485750","401.00182","RO","BZ","","JUD. BUZAU, SAT SAPOCA COM. SAPOCA, STR. PRINCIPALA, NR.560","","","0238714665","","","J10/511/2005",""
"00183","TACI EXIM S.R.L.","RO13671075","401.00183","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. BARAJUL BISTRITEI, NR.11, BL.M23, SC.5, ET.4, AP.98","","","","","","J40/988/2001",""
"00184","OPTICAL INVESTMENT GROUP S.A.","RO41476070","401.00184","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, STR. AMIRAL HORIA MACELARIU, NR.61-81, CORP B, PARTER, CAMERA 4","","","","","","",""
"00185","GEARUP SERV SRL","30160364","401.00185","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. DRISTORULUI, NR.98, CAMERA 2, BL.11, SC.C, ET.2, AP.98","","","","","","J40/5196/2012",""
"00186","LENIRTAC S.R.L.","RO38662048","401.00186","RO","B","","JUD. DOLJ, SAT CARCEA COM. CARCEA, STR. CALEA BUCURESTI, NR.52","","","0788168044","","","J16/22/2018",""
"00187","ELECTRONICS SUPORT DIVISION SRL","RO25042583","401.00187","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, B-DUL DECEBAL, NR.14, BL.S6","","","0213266063","","","J40/1227/2009",""
"00188","770 GOLD SHINE SRL","37030248","401.00188","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. ION NISTOR, NR.4, MODUL M14D, ET.1","","","","","","",""
"00189","CORA TERMOINSTAL S.R.L.","RO27180256","401.00189","RO","OT","","JUD. OLT, ORS. CORABIA, BLD. 1 MAI, NR.37B","","","0724505460","","","J28/348/2010",""
"00190","SUPERMARKET LA COCO? S.R.L.","RO31001774","401.00190","RO","PH","","JUD. PRAHOVA, MUN. PLOIESTI, STR. GHEORGHE TITEICA, NR.4, BL.A, ET.PARTER, AP.1","","","0238439126","","","J29/2627/2017",""
"00191","MOTO E MOTION SRL","RO29698638","401.00191","RO","MS","","JUD. MURES, SAT SANTANA DE MURES COM. SANTANA DE MURES, STR. PRINCIPALA, NR.237","","","0740058601","","","J26/109/2012",""
"00192","SANIOR COM S.R.L.","RO7900727","401.00192","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. OLTENITEI, NR.195","","","0722230218","","","J40/12343/1992",""
"00193","EBICOM S.R.L.","RO10557824","401.00193","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 5, SOS. SALAJ, NR.131D, ET.2","","","","","","J40/4197/1998",""
"00194","EUPHORIA PUB SRL","RO26538322","401.00194","RO","CJ","","JUD. CLUJ, MUN. CLUJ-NAPOCA, STR. CARDINAL IULIU HOSSU, NR.25","","","0752333344","","","J12/267/2010",""
"00195","OZKARDES SRL","RO34352907","401.00195","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. STRAULESTI, NR.1A, CORP CLADIRE C4","","","","","","",""
"00196","AVENIR TELECOM SA","RO9452492","401.00196","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 1, SOS. BUCURESTI-PLOIESTI, NR.67, BL.CLADIREA I, AP.CAM. 1","","","","","","J40/3755/1997",""
"00197","LANIASPORT S.R.L.","RO32748604","401.00197","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, STR. RADU VODA, NR.17, SUPRAFA?A 125 MP., ET.5","","","","","","",""
"00198","AZALIS SRL","RO14642582","401.00198","RO","B","","JUD. DOLJ, MUN. CRAIOVA, CAL. BUCURESTI, NR.49, BL.29A, ET.1","","","0251466024","","","J16/443/2002",""
"00199","SERVICE PARACELSUS SRL","RO5299184","401.00199","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 4, SOS. BERCENI, NR.104","","","","","","J40/3358/1994",""
"00200","ENGINE HOUSE S.R.L.","RO18374547","401.00200","RO","B","","MUNICIPIUL BUCURESTI, SECTOR 3, STR. BANUL UDREA, NR.9-11, BL.J2, SC.1, ET.7, AP.31","","","","","","J40/2228/2006",""
"00201","ROT CAR QUALITY SRL","RO24988347","401.00201","RO","B","BUCURESTI SECTOR 3","STR. SCHITULUI, NR.16, BL.43, SC.B, ET.3, AP.70, CAM.1","","","","","","J40/800/2009",""
"00202","ART STORE S.R.L.","RO31316578","401.00202","RO","B","BUCURESTI SECTOR 2","STR. SOLD. ION GEICU, NR.10-12","","","","","","",""
"00203","AC FASHION RETAIL SRL","RO38271600","401.00203","RO","B","BUCURESTI SECTOR 3","STR. LIVIU REBREANU, NR.4, PARTER, SPATIUL G028, SITUAT IN CENTRUL COMERCIAL PARK LAKE","","","","","","J40/16477/2017",""
"00204","DOCKYARD ISLANDS S.R.L.","RO17003885","401.00204","RO","MS","TARGU MURES","STR. BODOR PETER, NR.24, AP.4","","","0745800022","","","J26/2080/2004",""
"00205","BENVENUTI SRL","RO15640024","401.00205","RO","BH","ORADEA","STR. ANGHEL I. SALIGNY, NR.9","","","","","","J05/2211/2004",""
"00206","SINAIA SA","RO1331967","401.00206","RO","PH","SINAIA","BLD. CAROL I, NR.8","","","0749996997","","","J29/81/1991",""
"00207","GRAWE ROMANIA ASIGURARE  S.A.","RO8398697","401.00207","RO","B","BUCURESTI SECTOR 3","STR. VULTURILOR, NR.98A, PARTER, ETAJ 1,ETAJ 2, ETAJ 3 SI ETAJ 8","","","0213126003","","","J40/263/2001",""
"00208","ELLY & ANA CONSTRUCT SRL","RO24550567","401.00208","RO","BV","RASNOV","STR. CAMPULUI, NR.2","","","0268-257843","","","J08/2630/2008",""
"00209","CONAN STRONG S.R.L.","RO17484550","401.00209","RO","OT","CORABIA","STR. CUZA VODA, BL.27, SC.1, ET.PART.","","","0728283131","","","J28/337/2005",""
"00210","COMPANIA NATIONALA POSTA ROMANA S.A.","RO427410","401.00210","RO","B","BUCURESTI SECTOR 2","B-DUL DACIA, NR.140, ET.P","","","0212009258","","","J40/8636/1998",""
"00211","CREMBURG S.R.L.","RO10091316","401.00211","RO","BV","LOC. POIANA BRASOV BRASOV","GRUP SOCIAL, NR.1, BL.1, AP.311","","","0722475685","","","J08/3171/1993",""
"00212","CASTRONUL GUSTOS S.R.L.","RO43133892","401.00212","RO","B","BUCURESTI SECTOR 5","STR. NASAUD, NR.97, \NASAUD SHOPPING CENTER\, CORP 3, SPATIUL 3.60, ET.1","","","","","","",""
"00213","DUNLITE COM SRL","RO9027530","401.00213","RO","DJ","SAT DABULENI DABULENI","STR. VICTORIEI, NR.12","","","","","","J16/1357/1996",""
"00214","JULIEN STILE SRL","RO4653720","401.00214","RO","AG","CAMPULUNG","STR. NEGRU VODA, NR.164BIS","","","0722526526","","","J03/2195/1993",""
"00215","LEVI STRAUSS BUCHAREST S.R.L.","RO44067428","401.00215","RO","B","BUCURESTI SECTOR 3","B-DUL CORNELIU COPOSU, NR.6-8, MODULUL NR. M05, ET.8","","","","","","",""
"00216","DENIM HERMANSTADT SRL","RO19685371","401.00216","RO","SB","SELIMBAR","STR. CAMPULUI, NR.20","","","0269560170","","","J32/1899/2006",""
"00217","SANDA AGROTURISM S.R.L.","16361818","401.00217","RO","MS","CORUNCA","STR. PRINCIPALA, NR.24","","","","","","",""
"00218","FLORIAN TOP COMERCIAL SRL","RO16649765","401.00218","RO","B","BUCURESTI SECTOR 6","STR. IULIU MANIU, NR.103, BL.B, SC.2, ET.5, AP.56","","","","","","J40/12572/2004",""
"00219","COUNTRY RESTAURANT SRL","RO32648222","401.00219","RO","MS","TARGU MURES","STR. LAVANDEI, NR.2, AP.1","","","","","","J26/20/2014",""
"00220","SET-CORPORATION SRL","RO29084042","401.00220","RO","SV","SUCEAVA","STR. TRAIAN TARANU, NR.14, CAMERA 2","","","","","","J33/836/2011",""
"00221","ADI DRAG TRANS SRL","RO28658210","401.00221","RO","MS","TARGU MURES","STR. BORSOS TAMAS, NR.26, AP.11","","","0745406744","","","J26/695/2011",""
"00222","TUDOR AUTO SRL","RO6164088","401.00222","RO","SB","SELIMBAR","STR. CAMPULUI, NR.27","","","0745001471","","","J32/1241/1994",""
"00223","OTTER-DISTRIBUTION SRL","RO9755224","401.00223","RO","IF","CHIAJNA","STR. INDUSTRIILOR, NR.10","","","3163600","","","J23/472/2006",""
"00224","ALINA & SOFIA PENSIUNE S.R.L.","RO40196098","401.00224","RO","SM","SATU MARE","STR. BRANDUSA, BL.G12, AP.10","","","","","","",""
"00225","PROFESIONAL VENDING STORE SRL","RO33747291","401.00225","RO","B","BUCURESTI SECTOR 3","STR. CALUSARILOR, NR.1, BL.50, SC.1, ET.3, AP.14","","","","","","J40/12560/2014",""
"00226","MARIUS-NICOLAS IMPEX S.R.L.","RO17618210","401.00226","RO","B","BUCURESTI SECTOR 6","STR. LAVANDEI, NR.9, BL.P28, SC.4, ET.4, AP.58","","","0721749567","","","J40/9342/2005",""
"00227","ROUA SEA FOOD SRL","RO25200667","401.00227","RO","B","BUCURESTI SECTOR 1","SOS. NORDULUI, NR.7-9","","","","","","",""
"00228","LACHIDA FOOD SRL","RO34685723","401.00228","RO","SJ","ZALAU","STR. SFANTA VINERI, NR.6, CAMERA 2, BL.A14, SC.B, ET.1, AP.29","","","","","","",""
"00229","OFICIUL NATIONAL AL REGISTRULUI COMERTULUI","14942091","401.00229","RO","B","BUCURESTI SECTOR 3","BLD. UNIRII, NR.74, BL.J3B,TR.2+3","","","3160809","","","",""
"00230","ALCON S.R.L.","RO1519090","401.00230","RO","OT","SLATIOARA","","","","0751953064","","","J28/106/1991",""
"00231","HELINS TRADING SRL","RO6591550","401.00231","RO","DJ","GHERCESTI","STR. AVIATORILOR, NR.10","","","051437326","","","J16/3403/1994",""
"00232","MESOPOTAMIA SUD INVEST S.R.L.","RO32564164","401.00232","RO","VL","RAMNICU VALCEA","STR. FERDINAND, NR.13","","","0748601252","","","J38/631/2013",""
"00233","ROHAUS SRL","RO27675514","401.00233","RO","DJ","CRAIOVA","BLD. DECEBAL, NR.25, CAMERA 2","","","0744395000","","","J16/1254/2010",""
"00234","US FOOD NETWORK SA","RO6645790","401.00234","RO","B","BUCURESTI SECTOR 1","CALEA DOROBANTILOR, NR.239, CAMERA 5, ET.2","","","0213120023","","","J40/24660/1994",""
"00235","KAUFLAND ROMANIA SCS","RO15991149","401.00235","RO","B","BUCURESTI SECTOR 2","STR. BARBU VACARESCU, NR.120-144","","","","","","J40/17052/2003",""
"00236","FLOREMI PREST SRL","RO17511638","401.00236","RO","DJ","CRAIOVA","STR. G-RAL DR. ION CERNATESCU, NR.22, BL.F1, SC.1, AP.41","","","","","","J16/890/2005",""
"00237","WILSON INSURANCE BROKER","","401.00237","RO","","","","","","","","","",""
"00238","VS COMPANY BROKER DE ASIGURARE S.R.L.","RO10347199","401.00238","RO","B","BUCURESTI SECTOR 6","PREL. GHENCEA, NR.8, BL.A 2, SC.C, ET.3, AP.72","","","3270056","","","J40/2619/1998",""
"00239","MOTODISCOUNT.RO SRL","RO32216828","401.00239","RO","IF","BERCENI","STR. VASILE GOLDI?, NR.103","","","","","","J23/2728/2013",""
"00240","MP STORE GSMRO S.R.L.","RO45259090","401.00240","RO","B","BUCURESTI SECTOR 6","STR. ZBOINA NEAGRA, NR.8-10, BL.91-95, SC.3, ET.2, AP.99","","","","","","J40/20507/2021",""
"00241","DIAMANT SERVIMPEX SRL","RO1556307","401.00241","RO","B","BUCURESTI SECTOR 1","B-DUL MARESAL AVERESCU, NR.7, BL.4, SC.B, ET.5, AP.23","","","","","","J40/943/1992",""
"00242","TEAM IT & CC S.R.L.","RO32302031","401.00242","RO","DJ","MALU MARE","PREAJBA, STR. HENRY FORD, NR.21B","","","0766242199","","","J16/1517/2013",""
"00243","COMPANIA DE LIBRARII BUCURESTI SA","RO361307","401.00243","RO","B","BUCURESTI SECTOR 4","BLD. UNIRII, NR.10, BL.7B","","","0213130042","","","J40/6333/1992",""
"00244","GRILSORMAR SRL","RO30267663","401.00244","RO","DJ","CRAIOVA","STR. RAZBOIENI, NR.9, BL.B27, SC.1, AP.1","","","0400740040843","","","J16/875/2012",""
"00245","MILEX DAB GRUP SRL","RO31913509","401.00245","RO","OT","CORABIA","STR. GHEORGHE DOJA, NR.4A","","","0741121660","","","J28/369/2013",""
"00246","BLUE RESTAURANT SRL","RO35347380","401.00246","RO","B","BUCURESTI SECTOR 2","B-DUL PACHE PROTOPOPESCU, NR.51, CAMERA 5, BIROUL NR.5, ET.2","","","0726307307","","","J40/15503/2015",""
"00247","TOPTOOLS SRL","RO17593204","401.00247","RO","CJ","CLUJ-NAPOCA","STR. METEOR, NR.71B","","","0745369403","","","J12/1842/2005",""
"00248","SILDOR PROD SRL","RO3219537","401.00248","RO","AR","ARAD","CAL. 6 VANATORI, NR.57","","","0257270622","","","J02/1570/1992",""
"00249","PRO SPERANTA 2002 SRL","RO6747677","401.00249","RO","AG","PITESTI","STR. TRIVALE, NR.23","","","0248610136","","","J03/2069/1994",""
"00250","SIF HOTELURI S.A.","RO56150","401.00250","RO","BH","ORADEA","PTA. EMANUIL GOJDU, NR.53, BL.A10","","","0723569305","","","J05/126/1991",""
"00251","REAL MIRO GAZ SRL","RO26418482","401.00251","RO","B","BUCURESTI SECTOR 5","STR. CAIUS MARCIUS CORIOLAN, NR.5, ET.P, AP.CAM. 1","","","","","","J40/597/2010",""
"00252","TANASA MIHAI-TEODOR - CABINET DE AVOCAT","32399962","401.00252","RO","B","BUCURESTI SECTOR 4","CAL. SERBAN VODA, NR.43, BL.2, SC.5, ET.7, AP.155","","","0747916214","","","",""
"00253","VODAFONE ROMANIA SA","RO8971726","401.00253","RO","B","BUCURESTI SECTOR 2","STR. BARBU VACARESCU, NR.201, ET.4","","","0372022934","","","J40/9852/1996",""
"00254","LEODORMAR AGREMENT  SRL","RO30980518","401.00254","RO","VN","NANESTI","NANESTI","","","0741438420","","","J39/585/2012",""
"00256","ORANGE ROMANIA SA","RO9010105","401.00256","RO","B","BUCURESTI SECTOR 1","BLD. LASCAR CATARGIU, NR.47-53, BL.EUROPE HOUSE","","","0213177919","","","J40/10178/1996",""
"00257","AMARILLO COMUNICACIONES SRL","RO38468409","401.00257","RO","DJ","CARCEA","STR. CIOCARLIEI, NR.38","","","","","","J16/2842/2017",""
"00258","EMMA S.R.L.","RO2292807","401.00258","RO","DJ","CRAIOVA","CALEA BUCURESTI, NR.82A","","","0251406288","","","J16/992/1991",""
"00259","NITA G S VASILE PERSOANA FIZICA AUTORIZATA","RO41952653","401.00259","RO","BZ","BUZAU","STR. TRIUMFULUI, NR.14","","","","","","F10/644/2019",""
"00260","BUCEGI SRL","RO1151575","401.00260","RO","BZ","BUZAU","BLD. GARII, NR.47","","","0238710113","","","J10/549/1991",""
"00261","ELENY S.R.L.","RO2250429","401.00261","RO","BR","BRAILA","CAL. CALARASILOR, NR.214","","","0239687500","","","J09/410/1991",""
"00262","MDB COMPANY SRL","RO29143610","401.00262","RO","TM","TIMISOARA","STR. GHEORGHE ASACHI, NR.22, CAMERA B7","","","0722285348","","","J35/2112/2011",""
"00263","WIN INVEST SRL","RO24088078","401.00263","RO","DJ","CRAIOVA","STR. PELENDAVA, NR.39A","","","0744544148","","","J16/1245/2008",""
"00264","LARA CAKE SRL","RO37857459","401.00264","RO","B","BUCURESTI SECTOR 5","SOS. ALEXANDRIEI, NR.197, CLADIREA C2, SPATIUL 1","","","","","","J40/10750/2017",""
"00265","I D M DINAMIC SRL","RO7037953","401.00265","RO","BZ","BUZAU","STR. OLTETULUI, NR.7","","","711042","","","J10/134/1995",""
"00266","WONDERLAND PLACE SRL","33604623","401.00266","RO","B","BUCURESTI SECTOR 5","STR. CONTESTI, NR.6, CAMERA 2, BL.P83, SC.3, ET.5, AP.79","","","","","","J40/10911/2014",""
"00267","MOL ROMANIA PETROLEUM PRODUCTS SRL","RO7745470","401.00267","RO","CJ","CLUJ-NAPOCA","BLD. 21 DECEMBRIE 1989, NR.77, BL.CLADIREA C-D THE OFFICE, ET.1, AP.CAM.C.1.1","","","0264407600","","","J12/729/2000",""
"00268","HELENE SRL","RO941770","401.00268","RO","DB","TITU","STR. GARII, NR.36","","","0245651114","","","J15/502/1991",""
